Points,is_closed,likes,link,name,socialsource,source,symbol,symbol_id,talking_about,timestamp_api_call
5940,False,5890.0,https://www.facebook.com/bitsdigit/,Bits Digit,Facebook,cryptocompare,BITSD,198251,5.0,2017-12-30 17:55:48.195515
0,,,,,Facebook,cryptocompare,BITUSD,28021,,2017-12-30 17:56:03.406670
0,,,,,Facebook,cryptocompare,BITZ,7626,,2017-12-30 17:56:51.441360
77754,False,17714.0,https://www.facebook.com/BankExchange/,BANKEX,Facebook,cryptocompare,BKX,241757,6004.0,2017-12-30 17:56:03.039060
0,,,,,Facebook,cryptocompare,BLAS,253707,,2017-12-30 17:56:02.905351
0,,,,,Facebook,cryptocompare,BLAZR,60424,,2017-12-30 17:56:47.240493
0,,,,,Facebook,cryptocompare,BLC,5362,,2017-12-30 17:56:44.403756
1084,False,1054.0,https://www.facebook.com/viralexchange/,The Viral Exchange,Facebook,cryptocompare,BLITZ,15879,3.0,2017-12-30 17:55:43.634907
5512,False,4552.0,https://www.facebook.com/coinblack/,Blackcoin,Facebook,cryptocompare,BLK,4339,96.0,2017-12-30 17:56:31.901448
0,,,,,Facebook,cryptocompare,BLOCK,5305,,2017-12-30 17:56:41.948575
758,False,648.0,https://www.facebook.com/blockpayde/,BlockPay,Facebook,cryptocompare,BLOCKPAY,28204,11.0,2017-12-30 17:56:03.371254
0,,,,,Facebook,cryptocompare,BLRY,20336,,2017-12-30 17:55:53.470319
0,,,,,Facebook,cryptocompare,BLU,4340,,2017-12-30 17:56:31.260105
1815,False,725.0,https://www.facebook.com/EthereumBlue/,Ethereum Blue » The First Secure ERC20 Cryptocurrency Token,Facebook,cryptocompare,BLUE,350048,109.0,2017-12-30 17:56:19.590845
0,,,,,Facebook,cryptocompare,BLX,241634,,2017-12-30 17:56:01.672874
0,,,,,Facebook,cryptocompare,BM,24405,,2017-12-30 17:56:02.702975
10692,False,4612.0,https://www.facebook.com/Bitcomo-167760920458985/,Bitcomo,Facebook,cryptocompare,BM*,345544,608.0,2017-12-30 17:56:19.064238
0,,,,,Facebook,cryptocompare,BMC,304184,,2017-12-30 17:56:11.264915
768,False,718.0,https://www.facebook.com/BMChain/,BMCHAIN,Facebook,cryptocompare,BMT,481737,5.0,2017-12-30 17:56:39.121360
0,,,,,Facebook,cryptocompare,BMXT,213113,,2017-12-30 17:55:53.041967
131272,False,22122.0,https://www.facebook.com/binanceexchange/,Binance,Facebook,cryptocompare,BNB,204788,10915.0,2017-12-30 17:55:50.987372
0,,,,,Facebook,cryptocompare,BNB*,60622,,2017-12-30 17:56:47.226891
36,False,26.0,https://www.facebook.com/benjaCoin/,benjaCoin,Facebook,cryptocompare,BNC,215570,1.0,2017-12-30 17:55:53.352914
152466,False,28756.0,https://www.facebook.com/bankeracom/,Bankera,Facebook,cryptocompare,BNK,384605,12371.0,2017-12-30 17:56:25.699631
0,,,,,Facebook,cryptocompare,BNT,22327,,2017-12-30 17:55:59.145904
646,False,216.0,https://www.facebook.com/bounty0x/,Bounty0x,Facebook,cryptocompare,BNTY,543363,43.0,2017-12-30 17:56:46.559502
0,,,,,Facebook,cryptocompare,BNX,56682,,2017-12-30 17:56:46.616111
0,,,,,Facebook,cryptocompare,BOAT,57742,,2017-12-30 17:56:47.058464
0,,,,,Facebook,cryptocompare,BOB,7635,,2017-12-30 17:56:50.865210
291,False,291.0,https://www.facebook.com/Bogcoin/,Bogcoin,Facebook,cryptocompare,BOG,188677,0.0,2017-12-30 17:55:47.320377
1276,False,966.0,https://www.facebook.com/bolivarcoin/,BolivarCoin,Facebook,cryptocompare,BOLI,21357,31.0,2017-12-30 17:55:53.127933
0,,,,,Facebook,cryptocompare,BOMB,42110,,2017-12-30 17:56:30.234600
0,,,,,Facebook,cryptocompare,BON,21869,,2017-12-30 17:55:53.436355
16293,False,15863.0,https://www.facebook.com/bonpaycom/,Bonpay,Facebook,cryptocompare,BON*,346775,43.0,2017-12-30 17:56:18.483446
0,,,,,Facebook,cryptocompare,BOOM,5378,,2017-12-30 17:56:44.986685
3478,False,3408.0,https://www.facebook.com/boscoinio/,BOScoin,Facebook,cryptocompare,BOS,116384,7.0,2017-12-30 17:55:42.792005
0,,,,,Facebook,cryptocompare,BOSON,33869,,2017-12-30 17:56:17.672217
0,,,,,Facebook,cryptocompare,BOSS,41125,,2017-12-30 17:56:26.553775
0,,,,,Facebook,cryptocompare,BOST,4342,,2017-12-30 17:56:31.568915
0,,,,,Facebook,cryptocompare,BOTS,28125,,2017-12-30 17:56:06.022330
