Comments,Followers,PageViews,Points,Posts,socialsource,source,symbol,symbol_id,timestamp_api_call
774.0,4285,375396,127940,523.0,CryptoCompare,cryptocompare,SC,13072,2018-01-01 15:09:31.997602
774,4285,375396,127940,523,CryptoCompare,cryptocompare,SC,13072,2018-01-01 15:12:54.329629
2,14,1982,445,3,CryptoCompare,cryptocompare,SEQ,131112,2018-01-01 15:12:54.737981
2.0,14,1982,445,3.0,CryptoCompare,cryptocompare,SEQ,131112,2018-01-01 15:09:32.653622
3,85,5770,2280,5,CryptoCompare,cryptocompare,SKY,136269,2018-01-01 15:12:54.782218
3.0,85,5770,2280,5.0,CryptoCompare,cryptocompare,SKY,136269,2018-01-01 15:09:32.322110
173,400,50008,13980,90,CryptoCompare,cryptocompare,SNM,136244,2018-01-01 15:12:54.973508
173.0,400,50008,13980,90.0,CryptoCompare,cryptocompare,SNM,136244,2018-01-01 15:09:32.030420
203,830,137101,26405,145,CryptoCompare,cryptocompare,SNT,137013,2018-01-01 15:12:54.732322
203.0,830,137101,26405,145.0,CryptoCompare,cryptocompare,SNT,137013,2018-01-01 15:09:31.884983
5.0,29,3147,950,7.0,CryptoCompare,cryptocompare,STA,150519,2018-01-01 15:09:33.291111
5,29,3147,950,7,CryptoCompare,cryptocompare,STA,150519,2018-01-01 15:12:54.881336
,22,2576,550,,CryptoCompare,cryptocompare,SUB*,100944,2018-01-01 15:09:30.889071
,30,4360,775,1,CryptoCompare,cryptocompare,SUR,177462,2018-01-01 15:12:56.823417
,30,4360,775,1.0,CryptoCompare,cryptocompare,SUR,177462,2018-01-01 15:09:33.724088
17,84,9029,2620,14,CryptoCompare,cryptocompare,TFL,150545,2018-01-01 15:12:55.140075
17.0,84,9029,2620,14.0,CryptoCompare,cryptocompare,TFL,150545,2018-01-01 15:09:32.573998
12.0,118,14923,3995,37.0,CryptoCompare,cryptocompare,TIX,175671,2018-01-01 15:09:33.834791
12,118,14923,3995,37,CryptoCompare,cryptocompare,TIX,175671,2018-01-01 15:12:56.702317
1.0,49,7354,1335,4.0,CryptoCompare,cryptocompare,TX,13045,2018-01-01 15:09:31.425838
1,49,7354,1335,4,CryptoCompare,cryptocompare,TX,13045,2018-01-01 15:12:54.237076
,24,1784,600,,CryptoCompare,cryptocompare,USC,100954,2018-01-01 15:09:30.410338
42,407,42647,11470,35,CryptoCompare,cryptocompare,USDT,171986,2018-01-01 15:12:56.385184
42.0,407,42647,11470,35.0,CryptoCompare,cryptocompare,USDT,171986,2018-01-01 15:09:33.586928
126,408,63907,13360,76,CryptoCompare,cryptocompare,VERI,136211,2018-01-01 15:12:54.528077
126.0,408,63907,13360,76.0,CryptoCompare,cryptocompare,VERI,136211,2018-01-01 15:09:32.067276
2,8,1816,345,5,CryptoCompare,cryptocompare,XPS,105220,2018-01-01 15:12:52.679793
2.0,8,1816,345,5.0,CryptoCompare,cryptocompare,XPS,105220,2018-01-01 15:09:30.620404
40,364,26448,12275,111,CryptoCompare,cryptocompare,XRB,172091,2018-01-01 15:12:56.461810
40.0,364,26448,12275,111.0,CryptoCompare,cryptocompare,XRB,172091,2018-01-01 15:09:33.298919
1120,1473,532448,59250,449,CryptoCompare,cryptocompare,XTZ,166390,2018-01-01 15:12:56.059363
1120.0,1473,532448,59250,449.0,CryptoCompare,cryptocompare,XTZ,166390,2018-01-01 15:09:33.426338
77,533,57433,15870,71,CryptoCompare,cryptocompare,ZEN,116180,2018-01-01 15:12:53.474114
77.0,533,57433,15870,71.0,CryptoCompare,cryptocompare,ZEN,116180,2018-01-01 15:09:30.672158
10.0,47,6187,1575,12.0,CryptoCompare,cryptocompare,ZRC,129604,2018-01-01 15:09:31.513291
10,47,6187,1575,12,CryptoCompare,cryptocompare,ZRC,129604,2018-01-01 15:12:53.699018
