Algorithm,CHANGE24HOUR,CHANGEDAY,CHANGEPCT24HOUR,CHANGEPCTDAY,CoinName,FLAGS,FROMSYMBOL,FullName,FullyPremined,HIGH24HOUR,HIGHDAY,Id,ImageUrl,LASTMARKET,LASTTRADEID,LASTUPDATE,LASTVOLUME,LASTVOLUMETO,LOW24HOUR,LOWDAY,MARKET,MKTCAP,Name,OPEN24HOUR,OPENDAY,PRICE,PreMinedValue,ProofType,SUPPLY,SortOrder,Sponsored,Symbol,TOSYMBOL,TOTALVOLUME24H,TOTALVOLUME24HTO,TYPE,TotalCoinSupply,TotalCoinsFreeFloat,Url,VOLUME24HOUR,VOLUME24HOURTO,VOLUMEDAY,VOLUMEDAYTO,coin,coin_units,computer_name,source,timestamp_api_call
Scrypt,,,,,BitHIRE,,,BitHIRE (HIRE*),0.0,,,15882.0,/media/350613/hire.png,,,,,,,,,,HIRE*,,,,,PoS,,486.0,0.0,HIRE*,,,,,42000000,,/coins/hirestar/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
X15,,,,,EverGreenCoin,,,EverGreenCoin (EGC),0.0,,,15885.0,/media/350614/egc.png,,,,,,,,,,EGC,,,,,PoW/PoS,,487.0,0.0,EGC,,,,,26298000,,/coins/egc/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
X11,,,,,MindCoin,,,MindCoin (MND),0.0,,,15888.0,/media/350616/mnd.png,,,,,,,,,,MND,,,,,PoW,,488.0,0.0,MND,,,,,16000000,,/coins/mnd/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
SHA256,,,,,I0coin,,,I0coin (I0C),0.0,,,16123.0,/media/350691/i0c.png,,,,,,,,,,I0C,,,,,PoW,,489.0,0.0,I0C,,,,,21000000,,/coins/i0c/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Scrypt,,,,,Bata,,,Bata (BTA),0.0,,,16125.0,/media/1383113/bta1.png,,,,,,,,,,BTA,,,,,PoW,,490.0,0.0,BTA,,,,,5000000,,/coins/bta/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
Scrypt,,,,,Karmacoin,,,Karmacoin (KARM),0.0,,,16127.0,/media/350693/karm.png,,,,,,,,,,KARM,,,,,PoW,,491.0,0.0,KARM,,,,,92,,/coins/karm/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Ergo,,,Ergo (EFYT),0.0,,,165555.0,/media/1383646/efyt.png,,,,,,,,,,EFYT,,,,,,,1272.0,0.0,EFYT,,,,,150000,,/coins/efyt/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Tezos,,,Tezos (XTZ),0.0,,,166390.0,/media/1383651/xbt.png,,,,,,,,,,XTZ,,,,,DPoS,,1273.0,0.0,XTZ,,,,,,,/coins/xtz/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
DPoS,,,,,EOS,,,EOS (EOS),0.0,,,166503.0,/media/1383652/eos_1.png,,,,,,,,,,EOS,,,,,DPoS,,1274.0,0.0,EOS,,,,,1000000000,,/coins/eos/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Monaco,,,Monaco (MCO),0.0,,,166548.0,/media/1383653/mco.jpg,,,,,,,,,,MCO,,,,,,,1275.0,0.0,MCO,,,,,31587682.3632061,,/coins/mco/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Numerai,,,Numerai (NMR),0.0,,,166594.0,/media/1383655/nmr.png,,,,,,,,,,NMR,,,,,,,1276.0,0.0,NMR,,,,,2297106,,/coins/nmr/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
BLAKE256,,,,,Decred,,,Decred (DCR),0.0,,,16713.0,/media/1382607/decred.png,,,,,,,,,,DCR,,,,,PoW/PoS,,492.0,0.0,DCR,,,,,21000000,,/coins/dcr/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
,,,,,Nas2Coin,,,Nas2Coin (NAS2),0.0,,,16717.0,/media/350776/nas2.png,,,,,,,,,,NAS2,,,,,PoS,,493.0,0.0,NAS2,,,,,200000000,,/coins/nas2/overview,,,,,,,,cryptocompare,2017-12-29 00:02:25.141341
